countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2013,0.69,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2014,0.693,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.701,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.705,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.712,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.715,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.714,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.71,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.707,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.726,
IDN,Indonesia,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.728,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1990,63.249,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1991,63.703,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1992,64.182,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1993,64.851,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1994,65.041,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1995,65.263,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1996,65.465,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1997,65.774,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1998,65.942,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1999,66.001,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2000,66.292,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2001,66.583,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2002,66.954,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2003,67.134,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2004,65.521,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2005,67.531,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2006,67.664,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2007,67.914,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2008,68.085,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2009,68.267,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,68.364,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2011,68.629,
IDN,Indonesia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2012,68.862,
