Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years,FDI_Net_Inflows,GDP_Per_Capita,FDI_to_HDI_Ratio,HDI_Level
KHM,Cambodia,2019,0.593,70.127,4.798369884,3663032999.47048,2225.87705485686,6177121415.633187,Medium
KHM,Cambodia,2020,0.595,70.059,4.997735023,3624644990.13295,2081.73914242939,6091840319.551176,Medium
KHM,Cambodia,2021,0.594,69.301,5.197100163,3483461605.65372,2167.40324198499,5864413477.531515,Medium
KHM,Cambodia,2022,0.602,70.528,5.197100163,3578831295.87392,2325.03050040841,5944902484.840399,Medium
KHM,Cambodia,2023,0.606,70.668,5.197100163,3958792378.8864,2429.74853452838,6532660691.231684,Medium
LAO,Lao People's Democratic Republic,1990,0.409,54.035,3.365593212,6000000.0,200.7349054896,14669926.65036675,Low
LAO,Lao People's Democratic Republic,1991,0.415,54.7,3.470155332,6900000.0,231.806227548139,16626506.024096388,Low
LAO,Lao People's Democratic Republic,1992,0.42,55.098,3.574717451,7800000.0,247.345286150532,18571428.57142857,Low
LAO,Lao People's Democratic Republic,1993,0.426,55.583,3.67927957,29900000.0,283.400573286349,70187793.42723005,Low
LAO,Lao People's Democratic Republic,1994,0.434,55.81,3.783841689,59200000.0,320.968128951646,136405529.95391706,Low
LAO,Lao People's Democratic Republic,1995,0.436,56.344,3.888403808,95100000.0,357.758162193406,218119266.05504587,Low
LAO,Lao People's Democratic Republic,1996,0.449,56.821,3.960290265,159800000.0,371.341879197673,355902004.45434296,Low
LAO,Lao People's Democratic Republic,1997,0.455,57.302,4.032176722,91000000.0,339.09319241187,200000000.0,Low
LAO,Lao People's Democratic Republic,1998,0.462,57.549,4.104063179,45900000.0,243.923962451418,99350649.35064934,Low
LAO,Lao People's Democratic Republic,1999,0.469,57.866,4.175949636,78900000.0,272.325307005412,168230277.18550107,Low
LAO,Lao People's Democratic Republic,2000,0.473,58.317,4.247836093,33890000.0,318.749852236965,71649048.62579282,Low
LAO,Lao People's Democratic Republic,2001,0.479,58.887,4.31972255,23904284.1333333,320.316005439568,49904559.77731378,Low
LAO,Lao People's Democratic Republic,2002,0.488,59.302,4.391609007,4451297.0311068,313.350817148131,9121510.30964508,Low
LAO,Lao People's Democratic Republic,2003,0.496,59.643,4.463495464,19484000.8001106,355.097216151461,39282259.67764234,Low
LAO,Lao People's Democratic Republic,2004,0.505,60.08,4.535381921,16917263.0,409.296298284117,33499530.693069305,Low
LAO,Lao People's Democratic Republic,2005,0.514,60.688,4.607268378,27720000.0,466.061506997741,53929961.08949416,Low
LAO,Lao People's Democratic Republic,2006,0.515,61.074,4.681333212,187310641.0,579.391947440719,363709982.5242719,Low
LAO,Lao People's Democratic Republic,2007,0.529,61.694,4.755398047,323520000.0,697.323013673925,611568998.1096408,Low
LAO,Lao People's Democratic Republic,2008,0.537,62.248,4.829462881,227770000.0,885.747376088762,424152700.1862197,Low
LAO,Lao People's Democratic Republic,2009,0.548,63.023,4.903527716,318598209.09,935.03237283283,581383593.229927,Low
LAO,Lao People's Democratic Republic,2010,0.556,63.69,4.97759255,278805903.12,1125.91610151261,501449466.0431655,Medium
LAO,Lao People's Democratic Republic,2011,0.567,64.505,5.077797914,300743507.13,1361.54704394913,530411829.1534392,Medium
LAO,Lao People's Democratic Republic,2012,0.577,65.126,5.178003279,617755394.539664,1563.5650771337,1070633266.0999378,Medium
LAO,Lao People's Democratic Republic,2013,0.587,65.723,5.278208643,681397257.103792,1812.51774424651,1160813044.4698331,Medium
