place_id,name,rating,user_ratings_total,latitude,longitude,address,types
ChIJk3InOgCNaTERt2GENxTefe4,Dịch vụ tiệc cưới Nga Thiện,5.0,3,15.3180992,108.1873947,"859P+6XJ, khối 7, Bắc Trà My, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJXdgVziyTaTERiI9hyl878a0,Quán ăn Cô Huệ,5.0,2,15.3546309,108.3266759,"Trà Nú, Bắc Trà My, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJYyRHHgCHaTER9Mq6trhooW0,Quán Bà Vân,5.0,1,15.1488706,108.121561,"Trà Mai, Nam Trà My, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJPRrde0iNaTERqPQi1pLBPhM,suối mơ camping,5.0,6,15.322074,108.2283327,"86CH+R8G, thôn 4, Bắc Trà My, Quảng Nam, Việt Nam",Nhà hàng
ChIJwTgJ-c6HaTERogXikGxl2UM,Hội Ngộ quán,4.6,56,15.1475281,108.1188746,"Thôn 1_, Trà Mai, Nam Trà My, Quảng Nam, Việt Nam",Nhà hàng
ChIJeUnij0zZQTERYTZL4A90cPU,Thích Bò 79,4.1,7,15.8885229,107.4910038,"VFQR+CC2, Unnamed Road, Tây Giang, Quảng Nam, Việt Nam",Nhà hàng
ChIJ68OKqFvdaTERovlZ55cGmWY,Bếp Đỏ,4.4,135,15.5708602,108.4709755,"45 Trần Hưng Đạo, Phường An Mỹ, Tam Kỳ, Quảng Nam 560000, Việt Nam","Nhà hàng, Quán cà phê, Khu ăn uống, Quán mì, Nhà hàng phở, Quán rượu"
ChIJ5bWfjDbdaTERNJVVjFF5nx0,Sen Restaurant Tam Kỳ,4.4,211,15.5748768,108.4711389,"36 Trần Phú, Phường Tân Thạnh, Tam Kỳ, Quảng Nam, Việt Nam",Nhà hàng
ChIJbXHMEwHdaTERFKXnlSUgG0g,TIỆM CƠM CHÚ TÈO,4.8,133,15.5725808,108.4850573,"Lô 34-35D Đ. Lê Duẩn, Phường Phước Hòa, Tam Kỳ, Quảng Nam, Việt Nam",Nhà hàng cơm
ChIJN-fdOQDPaTERcOabkupOHis,Quán biển xanh,5.0,1,15.4394143,108.6964136,"CMQW+QH7, Tam Nghĩa, Núi Thành, Quảng Nam, Việt Nam",Nhà hàng hải sản
ChIJNWch-fbJaTERYZjSsmH4UrQ,Hải Nam quán,5.0,1,15.435169,108.657358,"Đường/5 Nguyễn Chí Thanh, Khối 3, Núi Thành, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJsxlKx8zPaTERxi_e3U2JX5g,Lẩu Đại (Kỳ Hà),5.0,2,15.4726456,108.6850013,"FMFP+322, Kỳ Hà, Núi Thành, Quảng Nam, Việt Nam",Nhà hàng
ChIJEXN8qavPaTERbnNdWyHozrk,Hàu Sữa Bà Hai,5.0,2,15.4624501,108.6705672,"FM6C+X76, Thôn Sâm Linh, Núi Thành, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJM22GaSLJaTERvEpNDeRf4B0,Dê Quay Thiên Hương,4.6,11,15.4360821,108.6546541,"Đường số 4, Khối Phố 3, Núi Thành, Quảng Nam, Việt Nam",Quán nhậu kiểu Nhật phong cách hiện đại
